eic_p,eic_g,type_g,cyear,Generation,cf,time_coverage,co2emitted
48WSTN00000BRYPC,48W000000BRYP-17,Fossil Gas,2015,32238.0,0.487,0.031,13805900.0
30W-CET-BUCS---S,30WELCEBUCU3---2,Fossil Gas,2015,318109.0,0.452,0.956,207243000.0
30W-CET-BUCS---S,30WELCEBUCU4---Y,Fossil Gas,2015,399821.0,0.568,0.956,260477000.0
30W-CET-BUCS---S,30WELCEBUCU5---T,Fossil Gas,2015,3763.0,0.004,0.956,2235220.0
30W-CET-BUCS---S,30WELCEBUCU6---O,Fossil Gas,2015,0.0,0.0,0.956,0.0
30W-CET-BUCV---D,30WELCEBUCV2---1,Fossil Gas,2015,77791.0,0.082,0.956,50679600.0
30W-CET-BUCV---D,30WELCEBUCV3---X,Fossil Gas,2015,654215.0,0.422,0.956,287229000.0
17W100P100P0181F,17W100P100P00966,Nuclear,2015,7231140.0,0.908,1.0,0.0
17W100P100P0182D,17W100P100P00974,Nuclear,2015,6584963.0,0.826,1.0,0.0
17W100P100P0183B,17W100P100P00982,Nuclear,2015,6293071.0,0.817,1.0,0.0
17W100P100P01849,17W100P100P01004,Nuclear,2015,4921948.0,0.639,1.0,0.0
48WSTN0000BURBWH,48W00000BURBW-1L,Wind Offshore,2015,225734.0,0.33,0.868,0.0
11WD2BUSC0002637,11WD2BUSD0000386,Fossil Brown coal/Lignite,2015,2128100.0,0.698,0.989,2298350000.0
16WCABRIL------U,16WCABRIL1-----G,Hydro Water Reservoir,2015,85277.0,0.181,0.997,0.0
16WCABRIL------U,16WCABRIL2-----9,Hydro Water Reservoir,2015,67178.0,0.142,0.997,0.0
48WSTN0000CAIRBU,48W00000CAIRW-2E,Wind Onshore,2015,99678.0,0.31,0.875,0.0
18WCAMGI10-12-07,18WCAMGI10-12-CK,Fossil Gas,2015,0.0,0.0,1.0,0.0
18WCAMGI20--1-0D,18WCAMGI20-12-CC,Fossil Gas,2015,0.0,0.0,1.0,0.0
16WCARRAPA-----2,16WCARRA1------C,Hydro Run-of-river and poundage,2015,225659.0,0.386,0.997,0.0
16WCARRAPA-----2,16WCARRA2------4,Hydro Run-of-river and poundage,2015,231377.0,0.395,0.997,0.0
16WCARRAPA-----2,16WCARRA3------X,Hydro Run-of-river and poundage,2015,225553.0,0.385,0.997,0.0
18WCTGN1-1234-0C,18WCTGN1-1234-CP,Fossil Gas,2015,936947.0,0.256,1.0,349794000.0
18WCTGN2-1234-03,18WCTGN2-1234-CG,Fossil Gas,2015,64420.0,0.018,1.0,24050100.0
18WCTGN3-1234-0V,18WCTGN3-1234-C7,Fossil Gas,2015,681828.0,0.189,1.0,254549000.0
18WCTJON1-123-06,18WCTJON1-123-CJ,Fossil Gas,2015,341901.0,0.092,1.0,130051000.0
18WCTJON2-123-0Z,18WCTJON2-123-CB,Fossil Gas,2015,8.0,0.0,1.0,3043.02
16WCBODE-------5,16WCBODE1------Q,Hydro Water Reservoir,2015,52008.0,0.112,0.997,0.0
16WCBODE-------5,16WCBODE2------I,Hydro Water Reservoir,2015,43561.0,0.094,0.997,0.0
16WCBODE-------5,16WCBODE3------A,Hydro Water Reservoir,2015,51922.0,0.112,0.997,0.0
18WDUER-12345-0N,18WCA21-12345-AJ,Hydro Water Reservoir,2015,358303.0,0.365,1.0,0.0
17W100P100P01873,17W100P100P01012,Nuclear,2015,6984948.0,0.616,0.995,0.0
17W100P100P01881,17W100P100P0103Z,Nuclear,2015,9423478.0,0.828,1.0,0.0
17W100B100P0189S,17W100P100P0104X,Nuclear,2015,9429859.0,0.828,1.0,0.0
17W100P100P0190E,17W100P100P0105V,Nuclear,2015,10185839.0,0.895,1.0,0.0
30W-CET-PETROM-L,30W-PETR-BRAZ1-W,Fossil Gas,2015,2435402.0,0.329,0.956,894280000.0
48WSTN00000CDCLQ,48W000000CDCL-1P,Fossil Gas,2015,471508.0,0.544,0.225,179487000.0
18WTAJO-12345-0U,18WCED1-12345-AZ,Hydro Water Reservoir,2015,155348.0,0.146,1.0,0.0
18WTAJO-12345-0U,18WCED2-12345-AP,Hydro Water Reservoir,2015,14717.0,0.014,1.0,0.0
18WTAJO-12345-0U,18WCED3-12345-AF,Hydro Water Reservoir,2015,49817.0,0.045,1.0,0.0
18WTAJO-12345-0U,18WCED4-12345-A5,Hydro Water Reservoir,2015,109353.0,0.099,1.0,0.0
49W000000000076N,49W000000000077L,Fossil Hard coal,2015,2886187.0,,0.973,2522970000.0
49W000000000090T,49W0000000000261,Fossil Gas,2015,181536.0,0.389,0.238,76925900.0
30W-CET-BRAI---0,30WTE--BRAI11--0,Fossil Gas,2015,0.0,0.0,0.956,0.0
30W-CET-BRAI---0,30WTE--BRAI2---3,Fossil Gas,2015,0.0,0.0,0.956,0.0
30W-CET-BRAZ---Q,30UBRAZBRAZ5---T,Fossil Gas,2015,293772.0,0.358,0.956,191388000.0
30W-CET-BRAZ---Q,30UBRAZBRAZ6---O,Fossil Gas,2015,6.0,0.0,0.956,3908.9
30W-CET-CRAI---T,30WCRAICRA21---Y,Fossil Brown coal/Lignite,2015,528267.0,0.482,0.956,725595000.0
30W-CET-CRAI---T,30WCRAICRA22---T,Fossil Brown coal/Lignite,2015,390835.0,0.356,0.956,536827000.0
30W-CET-GALA---G,30WGALATGALA3--G,Fossil Gas,2015,55327.0,0.069,0.956,48581900.0
30W-CET-GALA---G,30WGALAGALA5---Q,Fossil Gas,2015,24718.0,0.031,0.956,21704600.0
30W-CET-GALA---G,30WGALAGALA6---L,Fossil Gas,2015,0.0,0.0,0.956,0.0
30W-CET-MINT---R,30WMINTMINT2---1,Fossil Hard coal,2015,143704.0,0.088,0.956,154700000.0
30W-CET-MINT---R,30WMINTMINT3---X,Fossil Hard coal,2015,601439.0,0.326,0.956,647459000.0
30W-CET-MINT---R,30WMINTMINT4---S,Fossil Hard coal,2015,0.0,0.0,0.956,0.0
30W-CET-MINT---R,30WMINTMINT5---N,Fossil Hard coal,2015,98197.0,0.06,0.956,102407000.0
30W-CET-MINT---R,30WMINTMINT6---I,Fossil Hard coal,2015,0.0,0.0,0.956,0.0
30W-CET-PARO---N,30WTE-PARO124--W,Fossil Hard coal,2015,722889.0,0.575,0.956,831871000.0
17W100P100P0302T,17W100P100P0049F,Hydro Run-of-river and poundage,2015,94087.0,0.13,0.786,0.0
17W100P100P0302T,17W100P100P0050U,Hydro Run-of-river and poundage,2015,117583.0,0.136,0.93,0.0
28W-G-0000000009,28W-G-000000123U,Hydro Pumped Storage,2015,281969.0,0.179,1.0,0.0
30W-CHE-LOTR---A,30WHIDRLOTR1---C,Hydro Water Reservoir,2015,205344.0,0.144,0.956,0.0
30W-CHE-LOTR---A,30UHIDRLOTR2---7,Hydro Water Reservoir,2015,223959.0,0.157,0.956,0.0
30W-CHE-LOTR---A,30WHIDRLOTR3---B,Hydro Water Reservoir,2015,463188.0,0.325,0.956,0.0
30W-CHE-PDF1---A,30WHIDRPDFE1---R,Hydro Run-of-river and poundage,2015,793342.0,0.49,0.956,0.0
30W-CHE-PDF1---A,30WHIDRPDFE2---M,Hydro Run-of-river and poundage,2015,924535.0,0.571,0.956,0.0
